rank,ResNet18,MobileNetV3Large,Fusion_ResNet18_MobileNetV3Large
169,0.8956888754899005,0.9342779620138679,0.9288513717214351
170,0.89779921615918,0.9357853482062104,0.930660235152246
171,0.8999095568284594,0.9363883026831474,0.9324690985830569
172,0.9017184202592704,0.9388001205908953,0.9339764847753994
173,0.9038287609285499,0.9397045523063009,0.9357853482062104
174,0.9056376243593609,0.9421163702140488,0.9369912571600845
175,0.9080494422671088,0.9427193246909858,0.9388001205908953
176,0.9128730780826048,0.9448296653602652,0.9406089840217063
177,0.9149834187518843,0.9469400060295448,0.9430208019294544
178,0.9170937594211637,0.9475429605064818,0.9433222791679228
179,0.9182996683750377,0.9490503466988243,0.9457340970756708
180,0.9210129635212542,0.9499547784142297,0.9469400060295448
181,0.9231233041905336,0.9514621646065722,0.9484473922218872
182,0.9255351220982816,0.9535725052758517,0.9508592101296353
183,0.9279469400060295,0.9547784142297256,0.9520651190835092
184,0.9291528489599036,0.9562858004220681,0.9544769369912571
185,0.9303587579137775,0.9574917093759421,0.9562858004220681
186,0.933675007536931,0.960506481760627,0.9574917093759421
187,0.9342779620138679,0.9620138679529695,0.9593005728067531
188,0.936689779921616,0.962315345191438,0.960506481760627
189,0.9406089840217063,0.9632197769068436,0.960506481760627
190,0.9415134157371119,0.9638227313837805,0.9620138679529695
191,0.9430208019294544,0.9656315948145915,0.9632197769068436
192,0.9448296653602652,0.9674404582454025,0.9638227313837805
193,0.9472414832680133,0.9686463671992764,0.9650286403376545
194,0.9496533011757612,0.969550798914682,0.966536026529997
195,0.9514621646065722,0.9698522761531504,0.9683448899608079
196,0.9526680735604461,0.9704552306300874,0.9692493216762135
197,0.9538739825143202,0.9725655712993669,0.9701537533916189
198,0.9550798914681942,0.9734700030147724,0.9716611395839614
199,0.9571902321374737,0.9743744347301778,0.9740729574917094
200,0.9586976183298161,0.9767862526379258,0.9746759119686463
201,0.960506481760627,0.9794995477841423,0.9770877298763944
202,0.9626168224299065,0.9807054567380162,0.9785951160687368
203,0.9638227313837805,0.9813084112149533,0.9788965933072054
204,0.9656315948145915,0.9822128429303587,0.9798010250226108
205,0.967741935483871,0.9831172746457643,0.9807054567380162
206,0.9698522761531504,0.9840217063611697,0.9828157974072957
207,0.9722640940608984,0.9855290925535122,0.9834187518842328
208,0.9728670485378353,0.9864335242689177,0.9843231835996382
209,0.9749773892071149,0.9876394332227917,0.9852276153150437
